ID_Equipo,Fecha,Tipo_Mantenimiento,Costo_Mantenimiento,Duracion_Horas,Frecuencia de mantenimiento correctivo,ID_Registro,Temperatura_C,Vibracion_mm_s,Horas_Operativas,Tipo_Equipo,Potencia_kW,Horas_Recomendadas_Revision
36,1577836800.0,1,6754.12,3,9,307,139.97,4.31,41114.0,2,4351.0,3549
244,1577840400.0,1,4274.63,35,11,1156,141.25,4.82,93042.0,1,1206.0,1061
297,1577844000.0,1,5752.0,25,9,14,71.11,3.24,42929.0,3,3728.0,8016
431,1577847600.0,0,5690.14,8,14,597,89.23,4.12,81714.0,3,253.0,7764
403,1577851200.0,0,7048.79,28,8,107,61.95,4.66,96881.0,2,2597.0,4993
477,1577854800.0,0,1519.65,40,9,47,90.36,1.16,98904.0,1,2625.0,4602
323,1577858400.0,0,9148.27,37,13,607,141.82,4.46,3094.0,3,2166.0,9505
318,1577862000.0,0,7784.49,19,13,229,67.14,1.12,70026.0,2,1780.0,8351
154,1577865600.0,1,4968.19,25,9,529,52.3,4.79,10035.0,2,2355.0,6278
286,1577869200.0,0,8351.02,21,14,677,57.58,3.65,250.0,1,3432.0,8213
286,1577872800.0,1,9287.54,28,14,677,57.58,3.65,250.0,1,3432.0,8213
162,1577876400.0,0,4055.65,34,10,685,74.74,4.52,13153.0,2,1599.0,8383
296,1577880000.0,1,3805.28,21,8,16,106.58,0.24,75530.0,0,1192.0,6299
278,1577883600.0,0,2214.52,17,15,538,72.06,1.49,74847.0,3,3807.0,3178
224,1577887200.0,0,4276.16,1,12,10,122.37,1.91,91137.0,0,3513.0,8895
203,1577890800.0,1,320.94,46,8,18,56.42,4.67,70018.0,0,637.0,5843
386,1577894400.0,1,2806.72,20,11,346,68.89,3.48,4737.0,1,4192.0,9303
122,1577898000.0,1,8919.97,14,9,794,139.71,2.28,23355.0,3,7946.0,1474
33,1577901600.0,1,6522.17,24,12,696,112.15,3.65,3750.0,1,4720.0,3143
390,1577905200.0,0,1416.8,37,14,361,86.31,2.67,76236.0,3,244.0,6357
486,1577908800.0,0,5247.8,9,14,1229,96.55,3.34,48032.0,3,1106.0,1460
203,1577912400.0,1,4597.35,2,8,18,56.42,4.67,70018.0,0,637.0,5843
158,1577916000.0,1,5765.84,16,9,165,72.38,0.44,94305.0,1,4082.0,6958
18,1577919600.0,1,533.94,20,11,58,149.0,4.49,99272.0,3,4246.0,4516
193,1577923200.0,1,7937.91,45,10,130,113.07,0.89,25231.0,2,1083.0,2944
341,1577926800.0,1,7565.39,24,13,435,115.09,1.38,3449.0,2,260.0,7954
293,1577930400.0,0,7296.98,46,8,2399,109.54,2.83,8262.0,1,865.0,6478
70,1577934000.0,0,9688.26,19,9,768,145.73,1.76,77807.0,0,4078.0,4324
20,1577937600.0,0,6057.2,10,5,774,51.0,1.54,35397.0,0,3511.0,4698
198,1577941200.0,0,6658.81,13,10,20,85.92,3.34,66313.0,2,946.0,6127
492,1577944800.0,1,5387.69,6,7,480,50.93,2.3,40622.0,0,4990.0,4462
373,1577948400.0,0,8368.22,5,15,53,57.08,3.21,36290.0,0,2074.0,6712
309,1577952000.0,0,649.92,35,9,630,70.51,2.39,4455.0,1,194.0,4061
427,1577955600.0,1,2574.59,16,12,5,139.42,4.22,78104.0,2,1549.0,8111
497,1577959200.0,1,8878.12,25,13,2078,116.3,1.52,55874.0,0,3296.0,8256
394,1577962800.0,1,2790.67,46,8,830,105.79,2.15,43548.0,1,3111.0,6653
69,1577966400.0,1,8855.0,43,8,134,102.25,4.7,94635.0,1,4928.0,9028
47,1577970000.0,1,8234.25,7,7,251,92.51,3.94,19283.0,2,1883.0,9004
59,1577973600.0,1,6205.33,20,5,95,112.48,2.46,1376.0,0,2725.0,7002
498,1577977200.0,1,7232.44,10,10,123,130.07,0.37,53524.0,1,4231.0,9047
432,1577980800.0,1,4464.21,9,12,168,124.81,3.55,81946.0,1,2986.0,7395
274,1577984400.0,0,7569.8,2,12,951,57.59,3.19,59791.0,2,2600.0,2830
161,1577988000.0,0,7443.78,7,13,732,103.35,3.9,37071.0,2,1706.0,4455
225,1577991600.0,0,6431.96,17,9,181,136.44,0.98,32909.0,2,1484.0,1407
113,1577995200.0,1,3804.04,25,9,1136,87.4,4.39,55785.0,0,216.0,5122
28,1577998800.0,1,5721.88,40,15,445,99.43,0.59,25292.0,0,4722.0,9660
197,1578002400.0,0,5689.56,12,14,871,139.22,3.88,84761.0,0,281.0,4236
185,1578006000.0,0,5135.66,15,12,46,121.04,0.16,89849.0,0,215.0,3803
219,1578009600.0,0,8338.52,23,10,918,71.8,1.76,80007.0,1,464.0,9272
95,1578013200.0,0,9906.21,43,9,1269,98.72,2.85,13620.0,3,1095.0,1294
248,1578016800.0,0,6015.87,38,10,402,95.7,4.2,14286.0,2,517.0,2802
46,1578020400.0,1,412.9,2,10,922,128.17,2.03,59238.0,3,3570.0,4326
273,1578024000.0,0,4447.83,8,9,11,59.49,4.64,18341.0,2,3607.0,6085
130,1578027600.0,1,8404.42,17,17,703,145.01,4.42,70117.0,0,633.0,7585
434,1578031200.0,1,1584.8,36,13,764,83.42,4.16,56827.0,2,503.0,9649
417,1578034800.0,1,8241.07,20,9,769,142.19,3.42,43643.0,0,677.0,6202
